dataset,measurement,label,k,seed,status,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,status_reason,runtime_sec,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,spatial_median_xy_error_same_k,spatial_mean_xy_error_same_k,spatial_p90_xy_error_same_k,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error,median_vs_spatial_best
breast_2fov_v2,expression,expression,1,,ok,False,7275,6443,0.9954639175257732,393.8709411621094,351.20367431640625,0.8916719605670475,396.6328125,369.75384521484375,722.99951171875,354.80535888671875,1.0421315431594849,,,,,,,,,,,,,,7.164657115936279,6.741123676300049,11.255999565124512,51.608030814538736,16,2.41890287399292,152.86014547764188
breast_2fov_v2,expression,expression,2,,ok,False,7275,12701,0.9971134020618556,393.8709411621094,273.5788269042969,0.6945900250907246,358.818603515625,334.87701416015625,622.87451171875,354.80535888671875,0.9438329935073853,,,,,,,,,,,,,,3.091755151748657,3.9346635341644287,8.121748924255371,108.31291539071394,16,2.41890287399292,138.4416951009569
breast_2fov_v2,expression,expression,3,,ok,False,7275,18878,0.9984879725085912,393.8709411621094,238.310302734375,0.6050466734896578,343.1335754394531,324.2453918457031,581.4586181640625,354.80535888671875,0.9138683676719666,,,,,,,,,,,,,,2.952191114425659,3.467186689376831,6.34485387802124,109.83211427651229,16,2.41890287399292,134.04647012985117
breast_2fov_v2,expression,expression,4,,ok,False,7275,25078,0.9990378006872852,393.8709411621094,220.2653045654297,0.5592321787323044,334.89715576171875,315.6596069335937,564.2699584960938,354.80535888671875,0.8896697759628296,,,,,,,,,,,,,,2.6560733318328857,3.214989423751831,6.024593830108643,118.84446229342824,16,2.41890287399292,130.49701595191777
breast_2fov_v2,expression,expression,5,,ok,False,7275,31304,0.9991752577319588,393.8709411621094,208.65928649902344,0.5297656280084483,331.3837280273437,314.4095458984375,551.9165649414062,354.80535888671875,0.8861465454101562,,,,,,,,,,,,,,2.5642545223236084,3.1162643432617188,5.839629650115967,122.6124564317953,16,2.41890287399292,129.98022751506218
breast_2fov_v2,expression,expression,8,,ok,False,7275,49854,0.9995876288659794,393.8709411621094,189.1221466064453,0.480162730584906,326.0019836425781,312.90191650390625,531.8016357421875,354.80535888671875,0.8818973898887634,,,,,,,,,,,,,,2.4540281295776367,3.0592029094696045,5.835903644561768,127.50543187854976,16,2.41890287399292,129.35695759763777
breast_2fov_v2,expression,expression,12,,ok,False,7275,74562,1.0,393.8709411621094,177.00230407714844,0.4493916295396309,322.7606811523437,311.3135070800781,525.4268188476562,354.80535888671875,0.8774205446243286,,,,,,,,,,,,,,2.4200215339660645,3.1433322429656982,6.100075721740723,128.64080038572237,16,2.41890287399292,128.7002923627885
breast_2fov_v2,expression,expression,16,,ok,False,7275,99242,1.0,393.8709411621094,169.5056915283203,0.430358459621816,321.7450256347656,309.90625,519.7914428710938,354.80535888671875,0.8734542727470398,,,,,,,,,,,,,,2.41890287399292,3.290410280227661,6.449787139892578,128.1185174204341,16,2.41890287399292,128.1185174204341
breast_2fov_v2,expression,expression,24,,ok,False,7275,148072,1.0,393.8709411621094,161.34490966796875,0.4096390284389181,321.3291320800781,310.6012268066406,516.1829833984375,354.80535888671875,0.8754130005836487,,,,,,,,,,,,,,2.479739189147949,3.61443305015564,7.475117683410644,125.25560275287046,16,2.41890287399292,128.40582817363247
breast_2fov_v2,expression,expression,32,,ok,False,7275,196597,1.0,393.8709411621094,156.7303924560547,0.397923218183155,321.44537353515625,310.39208984375,512.3038940429688,354.80535888671875,0.8748235702514648,,,,,,,,,,,,,,2.5833568572998047,4.003076076507568,8.625261306762695,120.15068261540154,16,2.41890287399292,128.31936874397152
