measurement,k,datasets,wins,rank_mean,median_xy_error_median,p90_xy_error_median,coverage_mean,median_vs_spatial_best_mean,median_vs_spatial_best_median,median_vs_spatial_same_k_median
learned_mix,1,1,1,1.0,144.1547088623047,563.4957275390625,0.9956013745704467,59.59507941066948,59.59507941066948,20.12025230651481
morphology_image,1,1,0,2.0,156.239013671875,603.1217041015625,0.9958762886597938,64.59085867055458,64.59085867055458,21.806907315125247
morphology_image_all,1,1,0,2.0,156.239013671875,603.1217041015625,0.9958762886597938,64.59085867055458,64.59085867055458,21.806907315125247
learned_mix,2,1,0,4.0,180.3740997314453,465.531982421875,0.9961512027491409,74.56855819667494,74.56855819667494,58.34035713644013
learned_mix,3,1,0,5.0,191.08123779296875,444.474609375,0.9962886597938144,78.99500217532423,78.99500217532423,64.72522624272686
morphology_image,2,1,0,6.0,192.93020629882812,488.1934814453125,0.9962886597938144,79.7593852870807,79.7593852870807,62.40151526543403
morphology_image_all,2,1,0,6.0,192.93020629882812,488.1934814453125,0.9962886597938144,79.7593852870807,79.7593852870807,62.40151526543403
morphology_image_texture,1,1,0,8.0,194.88357543945312,634.5682983398438,0.9956013745704467,80.56692872407721,80.56692872407721,27.20068417593571
learned_mix,4,1,0,9.0,197.35850524902344,442.9153137207031,0.9964261168384879,81.59009085108107,81.59009085108107,74.30461459165797
morphology_image,3,1,0,10.0,198.4349365234375,472.2539978027344,0.9971134020618557,82.03509891072142,82.03509891072142,67.21615533418557
morphology_image_all,3,1,0,10.0,198.4349365234375,472.2539978027344,0.9971134020618557,82.03509891072142,82.03509891072142,67.21615533418557
learned_mix,5,1,0,12.0,203.7802276611328,437.6675720214844,0.9965635738831615,84.24489873160954,84.24489873160954,79.46957912605205
morphology_image,4,1,0,13.0,206.632568359375,460.62188720703125,0.9973883161512027,85.42408650674075,85.42408650674075,77.79625881668838
morphology_image_all,4,1,0,13.0,206.632568359375,460.62188720703125,0.9973883161512027,85.42408650674075,85.42408650674075,77.79625881668838
morphology_image,5,1,0,15.0,211.87335205078125,461.3182373046875,0.9976632302405498,87.59068184537674,87.59068184537674,82.62571059396689
morphology_image_all,5,1,0,15.0,211.87335205078125,461.3182373046875,0.9976632302405498,87.59068184537674,87.59068184537674,82.62571059396689
learned_mix,8,1,0,17.0,212.451171875,441.09619140625,0.9973883161512027,87.82955866446328,87.82955866446328,86.57242731425617
morphology_image_texture,2,1,0,18.0,217.99856567382812,517.0177001953125,0.9968384879725086,90.12290986035936,90.12290986035936,70.50964742487157
morphology_image,8,1,0,19.0,221.40042114257812,457.2295837402344,0.9984879725085911,91.5292728463748,91.5292728463748,90.219186354919
morphology_image_all,8,1,0,19.0,221.40042114257812,457.2295837402344,0.9984879725085911,91.5292728463748,91.5292728463748,90.219186354919
