measurement,k,median_xy_error,p90_xy_error,coverage,median_vs_spatial_best,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error
expression,16,309.90625,519.7914428710938,1.0,128.1185174204341,128.1185174204341,16,2.41890287399292
learned_mix,1,144.1547088623047,563.4957275390625,0.9956013745704467,59.59507941066948,20.12025230651481,16,2.41890287399292
morphology,8,361.47760009765625,597.3177490234375,0.9950515463917525,149.43865832072854,147.2996970739167,16,2.41890287399292
morphology_image,1,156.239013671875,603.1217041015625,0.9958762886597938,64.59085867055458,21.806907315125247,16,2.41890287399292
morphology_image_all,1,156.239013671875,603.1217041015625,0.9958762886597938,64.59085867055458,21.806907315125247,16,2.41890287399292
morphology_image_histogram,1,253.69277954101562,674.0933227539062,0.9957388316151202,104.87927492609121,35.40892124156635,16,2.41890287399292
morphology_image_summary,2,236.45428466796875,529.0484619140625,0.996701030927835,97.75269904808127,76.47898137542788,16,2.41890287399292
morphology_image_texture,1,194.88357543945312,634.5682983398438,0.9956013745704467,80.56692872407721,27.20068417593571,16,2.41890287399292
seq_blast,2,417.6304016113281,761.5712890625,0.9994501718213058,172.65281963220758,135.07874366284202,16,2.41890287399292
seq_jaccard,24,306.91070556640625,519.2222290039062,0.9995876288659794,126.88012770838709,123.76733283465279,16,2.41890287399292
seq_jaccard_all,24,315.24639892578125,518.825927734375,0.9995876288659794,130.32619139659758,127.12885302833057,16,2.41890287399292
