measurement,k,datasets,leaky,wins,rank_mean,mean_xy_error_median,median_xy_error_median,p90_xy_error_median,coverage_mean,median_vs_spatial_best_mean,median_vs_spatial_best_median,median_vs_spatial_same_k_median
spagcn_adjacency,5,1,True,1,1.0,3.0859975814819336,2.2175509929656982,6.347654819488525,0.9972067039106144,0.819731964757745,0.819731964757745,0.7926589409315419
spatial,4,1,True,0,2.0,3.616849660873413,2.705214738845825,7.53884220123291,0.9972067039106144,1.0,1.0,1.0
morphology_image,1,1,False,0,3.0,35.1114501953125,11.317898750305176,99.14569091796876,0.9748603351955308,4.1837339519797,4.1837339519797,1.8121982832206456
morphology_image_all,1,1,False,0,3.0,35.1114501953125,11.317898750305176,99.14569091796876,0.9748603351955308,4.1837339519797,4.1837339519797,1.8121982832206456
morphology_image_summary,1,1,False,0,5.0,38.78624725341797,12.240757942199709,122.30818939208984,0.9916201117318436,4.524874778488825,4.524874778488825,1.9599645674136872
morphology_image_histogram,1,1,False,0,6.0,41.64501953125,12.814723014831545,131.16502380371094,0.9581005586592178,4.737044653356769,4.737044653356769,2.0518666547356808
morphology_image_texture,1,1,False,0,7.0,42.86397552490234,13.465609550476074,116.84697723388672,0.9748603351955308,4.977649040985615,4.977649040985615,2.1560852458796105
learned_mix,0,1,False,0,8.0,36.44480895996094,18.431228637695312,102.17347717285156,1.0,6.813222023756592,6.813222023756592,
spagcn_xy_embedding,1,1,True,0,9.0,54.177833557128906,35.92704772949219,129.64645385742188,0.994413407821229,13.28066390205326,13.28066390205326,5.752563762316427
spagcn_histology_embedding,1,1,True,0,10.0,51.70550155639648,35.97597122192383,124.80121612548828,0.994413407821229,13.29874878519733,13.29874878519733,5.76039728963009
spagcn_xy_probabilities,8,1,True,0,11.0,68.17945098876953,57.0909423828125,123.5787124633789,1.0,21.104033466552178,21.104033466552178,18.017387095987786
expression,4,1,False,0,12.0,71.39997863769531,58.43609237670898,128.85723876953125,1.0,21.601276799800605,21.601276799800605,21.601276799800605
spagcn_histology_probabilities,32,1,True,0,13.0,69.44062042236328,62.09394836425781,117.66751098632812,1.0,22.953426754857205,22.953426754857205,8.211834586397888
morphology,24,1,False,0,14.0,82.37645721435547,72.06394958496094,142.203369140625,1.0,26.63890172937136,26.63890172937136,11.352987026879546
random_neighbors,32,1,False,0,15.0,83.61474609375,74.58805847167969,138.2755584716797,1.0,27.571954788144673,27.571954788144673,9.864162521875869
random_permutation,0,1,False,0,16.0,106.1640167236328,87.05644226074219,205.6650238037109,1.0,32.180972922646674,32.180972922646674,
