measurement,k,datasets,wins,rank_mean,median_xy_error_median,p90_xy_error_median,coverage_mean,median_vs_spatial_best_mean,median_vs_spatial_best_median,median_vs_spatial_same_k_median
learned_mix,1,1,1,1.0,25.745155334472656,310.8052978515625,0.9935794542536116,10.208056671948592,10.208056671948592,4.097396787408631
learned_mix,2,1,0,2.0,41.995487213134766,309.93377685546875,0.9935794542536116,16.651378011448813,16.651378011448813,16.578459653745913
morphology_image,1,1,0,3.0,43.35780334472656,521.98095703125,0.9935794542536116,17.19154178578728,17.19154178578728,6.900487560698446
morphology_image_all,1,1,0,3.0,43.35780334472656,521.98095703125,0.9935794542536116,17.19154178578728,17.19154178578728,6.900487560698446
morphology_image_histogram,1,1,0,5.0,49.273475646972656,521.8701171875,0.9967897271268058,19.5371294246836,19.5371294246836,7.841979517988354
learned_mix,3,1,0,6.0,52.698463439941406,338.3918151855469,0.9951845906902087,20.89515073149399,20.89515073149399,17.128030205873408
learned_mix,4,1,0,7.0,62.15909957885742,317.69384765625,0.9951845906902087,24.646330656573973,24.646330656573973,24.646330656573973
morphology_image_texture,1,1,0,8.0,64.95126342773438,524.3403930664062,0.9919743178170144,25.753434748058606,25.753434748058606,10.337133128522323
learned_mix,5,1,0,9.0,69.78717803955078,315.61968994140625,0.9951845906902087,27.670894160394184,27.670894160394184,27.116596812842456
learned_mix,8,1,0,10.0,81.39071655273438,328.83502197265625,0.9951845906902087,32.271743415287304,32.271743415287304,30.529458047477075
morphology_image_summary,1,1,0,11.0,81.91289520263672,567.6011962890625,0.9935794542536116,32.47878933059967,32.47878933059967,13.036613269185324
learned_mix,12,1,0,12.0,91.48280334472656,324.754638671875,0.9951845906902087,36.27329604033346,36.27329604033346,28.500864889982786
morphology_image_histogram,2,1,0,13.0,103.39110565185547,492.49884033203125,0.9967897271268058,40.9949853538603,40.9949853538603,40.8154634545915
learned_mix,16,1,0,14.0,105.30462646484375,335.1075744628906,0.9951845906902087,41.753703980653064,41.753703980653064,24.53108126466476
morphology_image_texture,2,1,0,15.0,107.25881958007812,486.85882568359375,0.9935794542536116,42.5285493373456,42.5285493373456,42.34231177964715
morphology_image,2,1,0,16.0,109.7968978881836,486.222900390625,0.9935794542536116,43.53490749950795,43.53490749950795,43.344262980151704
morphology_image_all,2,1,0,16.0,109.7968978881836,486.222900390625,0.9935794542536116,43.53490749950795,43.53490749950795,43.344262980151704
learned_mix,24,1,0,18.0,121.34730529785156,342.3426513671875,0.9951845906902087,48.11469006015571,48.11469006015571,21.41399489329848
learned_mix,32,1,0,19.0,131.93173217773438,352.43206787109375,0.9951845906902087,52.31145749178453,52.31145749178453,19.37447536677322
morphology_image_texture,4,1,0,20.0,134.25294494628906,500.6590270996094,0.9935794542536116,53.23182760341207,53.23182760341207,53.23182760341207
morphology_image_texture,5,1,0,21.0,134.25381469726562,433.6825256347656,0.9935794542536116,53.23217246313981,53.23217246313981,52.165837135134126
morphology_image_texture,32,1,0,22.0,135.23776245117188,357.927978515625,0.9951845906902087,53.62231166811335,53.62231166811335,19.859973442461573
morphology_image_texture,24,1,0,23.0,137.34051513671875,358.85015869140625,0.9951845906902087,54.456061486371894,54.456061486371894,24.23629500928644
morphology_image,4,1,0,24.0,137.64625549316406,499.98565673828125,0.9951845906902087,54.57728875592799,54.57728875592799,54.57728875592799
morphology_image_all,4,1,0,24.0,137.64625549316406,499.98565673828125,0.9951845906902087,54.57728875592799,54.57728875592799,54.57728875592799
morphology_image_texture,3,1,0,26.0,139.0387725830078,497.0982971191406,0.9935794542536116,55.129427330549376,55.129427330549376,45.190317537500654
morphology_image,24,1,0,27.0,140.70001220703125,361.9260559082031,0.9951845906902087,55.788115460700645,55.788115460700645,24.829140914938346
morphology_image_all,24,1,0,27.0,140.70001220703125,361.9260559082031,0.9951845906902087,55.788115460700645,55.788115460700645,24.829140914938346
morphology_image,32,1,0,29.0,142.84622192382812,368.3807067871094,0.9951845906902087,56.639096165004794,56.639096165004794,20.97729304555361
morphology_image_all,32,1,0,29.0,142.84622192382812,368.3807067871094,0.9951845906902087,56.639096165004794,56.639096165004794,20.97729304555361
morphology_image,5,1,0,31.0,145.1853790283203,432.69171142578125,0.9951845906902087,57.56658127733094,57.56658127733094,56.413420012476784
morphology_image_all,5,1,0,31.0,145.1853790283203,432.69171142578125,0.9951845906902087,57.56658127733094,57.56658127733094,56.413420012476784
morphology_image,3,1,0,33.0,145.41644287109375,492.67840576171875,0.9951845906902087,57.65819901166681,57.65819901166681,47.263184983852874
morphology_image_all,3,1,0,33.0,145.41644287109375,492.67840576171875,0.9951845906902087,57.65819901166681,57.65819901166681,47.263184983852874
expression,1,1,0,35.0,148.79269409179688,573.9977416992188,0.9951845906902087,58.99689607338252,58.99689607338252,23.680676960036354
morphology_image,16,1,0,36.0,149.6419219970703,357.6986083984375,0.9951845906902087,59.33361832158056,59.33361832158056,34.85960942405783
morphology_image_all,16,1,0,36.0,149.6419219970703,357.6986083984375,0.9951845906902087,59.33361832158056,59.33361832158056,34.85960942405783
morphology_image_summary,2,1,0,38.0,151.18450927734375,497.0443420410156,0.9951845906902087,59.9452603246635,59.9452603246635,59.682752925459546
morphology_image_texture,8,1,0,39.0,151.2442626953125,370.9175720214844,0.9935794542536116,59.968952792976204,59.968952792976204,56.73135178612726
morphology_image_histogram,24,1,0,40.0,151.58457946777344,374.98406982421875,1.0,60.103889749252566,60.103889749252566,26.749925782514833
morphology_image_histogram,32,1,0,41.0,152.14329528808594,365.6241760253906,1.0,60.32542279821528,60.32542279821528,22.34258944472645
morphology_image_texture,16,1,0,42.0,152.4653778076172,360.2632141113281,0.9935794542536116,60.45312980055045,60.45312980055045,35.51734333624106
morphology_image_summary,24,1,0,43.0,156.7377471923828,361.1849365234375,1.0,62.14714128490878,62.14714128490878,27.65929832332435
morphology_image_summary,3,1,0,44.0,157.46334838867188,497.8569030761719,1.0,62.43484505040265,62.43484505040265,51.17866464157647
morphology_image_histogram,3,1,0,45.0,158.03038024902344,502.43115234375,0.9967897271268058,62.65967544237619,62.65967544237619,51.362961074485995
morphology_image,8,1,0,46.0,159.1235809326172,354.48870849609375,0.9951845906902087,63.09313386929022,63.09313386929022,59.686864721225426
morphology_image_all,8,1,0,46.0,159.1235809326172,354.48870849609375,0.9951845906902087,63.09313386929022,63.09313386929022,59.686864721225426
morphology_image,12,1,0,48.0,160.10946655273438,360.0585021972656,0.9951845906902087,63.48404144593785,63.48404144593785,49.881049847492946
morphology_image_all,12,1,0,48.0,160.10946655273438,360.0585021972656,0.9951845906902087,63.48404144593785,63.48404144593785,49.881049847492946
morphology_image_texture,12,1,0,50.0,160.6315155029297,363.09326171875,0.9935794542536116,63.69103593479958,63.69103593479958,50.04369075978995
