measurement,k,seed,leaky,status,mean_xy_error,median_xy_error,p90_xy_error,coverage,median_vs_spatial_best,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error
expression,1,,False,ok,240.2873687744141,148.79269409179688,573.9977416992188,0.9951845906902088,58.99689607338252,23.680676960036354,4,2.522042751312256
learned_mix,0,,False,ok,175.73802185058594,25.28570556640625,555.67724609375,1.0,10.025883008228043,,4,2.522042751312256
morphology,8,,False,ok,298.7322082519531,296.1448059082031,433.84417724609375,1.0,117.4225955345581,111.08318996177931,4,2.522042751312256
morphology_image,1,,False,ok,180.88894653320312,43.35780334472656,521.98095703125,0.9935794542536116,17.19154178578728,6.900487560698446,4,2.522042751312256
morphology_image_all,1,,False,ok,180.88894653320312,43.35780334472656,521.98095703125,0.9935794542536116,17.19154178578728,6.900487560698446,4,2.522042751312256
morphology_image_histogram,1,,False,ok,182.57774353027344,49.273475646972656,521.8701171875,0.9967897271268058,19.5371294246836,7.841979517988354,4,2.522042751312256
morphology_image_summary,1,,False,ok,222.6613006591797,81.91289520263672,567.6011962890625,0.9935794542536116,32.47878933059967,13.036613269185324,4,2.522042751312256
morphology_image_texture,1,,False,ok,190.5236358642578,64.95126342773438,524.3403930664062,0.9919743178170144,25.753434748058606,10.337133128522323,4,2.522042751312256
random_neighbors,5,5.0,False,ok,294.4414978027344,290.614501953125,413.8797302246094,1.0,115.22980798081794,112.92154947090383,4,2.522042751312256
random_permutation,0,19.0,False,ok,349.8805236816406,432.7906188964844,634.3867797851562,1.0,171.60320485102685,,4,2.522042751312256
spagcn_adjacency,4,100.0,True,ok,2.766273021697998,2.207094669342041,5.679028034210205,1.0,0.8751218305850118,0.8751218305850118,4,2.522042751312256
spagcn_xy_embedding,1,100.0,True,ok,190.8174743652344,84.03765869140625,512.381591796875,0.9951845906902088,33.32126652003826,13.374773943680463,4,2.522042751312256
spagcn_xy_probabilities,1,100.0,True,ok,265.4054260253906,227.3868560791016,570.2823486328125,0.9839486356340288,90.15979446057719,36.189106707386024,4,2.522042751312256
spatial,4,,True,ok,3.3033316135406494,2.522042751312256,6.873007774353027,1.0,1.0,1.0,4,2.522042751312256
