dataset,measurement,label,k,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,score
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0,0,False,623,623,1.0,304.7862548828125,298.6307067871094,0.9798037214700844,175.73802185058594,25.28570556640625,555.67724609375,297.9662170410156,0.0848609805107116,496,623,neighbor_union_v1,1,8,1,5,0.0,0.0,1.0,0.0,303.12432861328125
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0,0,False,623,1238,1.0,304.7862548828125,279.9581298828125,0.9185392234648304,174.327392578125,50.46867752075195,517.8167724609375,297.9662170410156,0.1693771779537201,1039,1238,neighbor_union_v1,1,8,1,5,0.125,0.0,1.0,0.0,309.3770637512207
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0.125,0,False,623,3719,1.0,304.7862548828125,261.11376953125,0.8567111060557696,176.70962524414062,65.81745147705078,492.0771179199219,297.9662170410156,0.2208889722824096,3281,3719,neighbor_union_v1,1,8,1,5,0.0,0.0,1.0,0.125,311.8560104370117
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0.125,0,False,623,4161,1.0,304.7862548828125,249.04934692382807,0.8171278820286213,177.02139282226562,77.93960571289062,475.3488464355469,297.9662170410156,0.2615719437599182,3650,4161,neighbor_union_v1,1,8,1,5,0.125,0.0,1.0,0.125,315.61402893066406
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0.125,0,False,623,4161,1.0,304.7862548828125,240.15869140625,0.7879577492711697,178.61509704589844,95.1839828491211,460.2544860839844,297.9662170410156,0.3194455504417419,3650,4161,neighbor_union_v1,1,8,1,5,0.25,0.0,1.0,0.125,325.3112258911133
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0,0,False,623,1238,1.0,304.7862548828125,266.2694396972656,0.8736267972440023,176.25686645507812,76.51068115234375,497.8779602050781,297.9662170410156,0.256776362657547,1039,1238,neighbor_union_v1,1,8,1,5,0.25,0.0,1.0,0.0,325.4496612548828
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0.25,0,False,623,4161,1.0,304.7862548828125,229.14596557617188,0.7518251295954156,182.30491638183597,106.77349853515624,441.66986083984375,297.9662170410156,0.3583409488201141,3650,4161,neighbor_union_v1,1,8,1,5,0.125,0.0,1.0,0.25,327.6084289550781
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0.25,0,False,623,4161,1.0,304.7862548828125,223.01339721679688,0.7317042473012553,183.28167724609372,115.98223114013672,427.9423522949219,297.9662170410156,0.389246255159378,3650,4161,neighbor_union_v1,1,8,1,5,0.25,0.0,1.0,0.25,329.95340728759766
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0.25,0,False,623,3719,1.0,304.7862548828125,237.4844970703125,0.779183750138677,182.2494201660156,101.70752716064452,459.7831726074219,297.9662170410156,0.341339111328125,3281,3719,neighbor_union_v1,1,8,1,5,0.0,0.0,1.0,0.25,331.59911346435547
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.5_morphology0_morphology_image1_seq_jaccard_all0.125,0,False,623,4161,1.0,304.7862548828125,229.04867553710935,0.7515059221590438,182.36273193359372,128.06600952148438,430.7326049804688,297.9662170410156,0.429800420999527,3650,4161,neighbor_union_v1,1,8,1,5,0.5,0.0,1.0,0.125,343.43231201171875
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.5_morphology0_morphology_image1_seq_jaccard_all0.25,0,False,623,4161,1.0,304.7862548828125,215.5224456787109,0.707126526298167,185.7580718994141,138.4038848876953,415.1466674804688,297.9662170410156,0.4644952118396759,3650,4161,neighbor_union_v1,1,8,1,5,0.5,0.0,1.0,0.25,345.9772186279297
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.125_morphology0.125_morphology_image1_seq_jaccard_all0.125,0,False,623,9030,1.0,304.7862548828125,195.5045623779297,0.6414480943476253,198.6123962402344,133.33750915527344,428.6512145996094,297.9662170410156,0.4474920332431793,6528,9030,neighbor_union_v1,1,8,1,5,0.125,0.125,1.0,0.125,347.6631164550781
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression1_morphology0_morphology_image0.125_seq_jaccard_all0,0,False,623,1238,1.0,304.7862548828125,267.2928161621094,0.8769844829940937,223.385009765625,92.01371002197266,514.6435546875,297.9662170410156,0.3088058531284332,1039,1238,neighbor_union_v1,1,8,1,5,1.0,0.0,0.125,0.0,349.33548736572266
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.25_morphology0.125_morphology_image1_seq_jaccard_all0,0,False,623,6192,1.0,304.7862548828125,204.69276428222656,0.6715944731855741,197.1044769287109,127.19438934326172,444.60980224609375,297.9662170410156,0.4268752038478851,4000,6192,neighbor_union_v1,1,8,1,5,0.25,0.125,1.0,0.0,349.4992904663086
