measurement,k,seed,status,leaky,mean_xy_error,median_xy_error,p90_xy_error,coverage,median_vs_spatial_best,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error
spatial,4,,ok,True,3.3033,2.522,6.873,1.0,1.0,1.0,4,2.522
learned_mix,0,,ok,False,175.738,25.2857,555.6772,1.0,10.0259,,4,2.522
morphology_image,1,,ok,False,180.8889,43.3578,521.981,0.9936,17.1915,6.9005,4,2.522
morphology_image_all,1,,ok,False,180.8889,43.3578,521.981,0.9936,17.1915,6.9005,4,2.522
morphology_image_histogram,1,,ok,False,182.5777,49.2735,521.8701,0.9968,19.5371,7.842,4,2.522
morphology_image_texture,1,,ok,False,190.5236,64.9513,524.3404,0.992,25.7534,10.3371,4,2.522
morphology_image_summary,1,,ok,False,222.6613,81.9129,567.6012,0.9936,32.4788,13.0366,4,2.522
spagcn_xy_embedding,1,100.0,ok,True,190.8175,84.0377,512.3816,0.9952,33.3213,13.3748,4,2.522
expression,1,,ok,False,240.2874,148.7927,573.9977,0.9952,58.9969,23.6807,4,2.522
spagcn_xy_probabilities,1,100.0,ok,True,265.4054,227.3869,570.2823,0.9839,90.1598,36.1891,4,2.522
random_neighbors,5,5.0,ok,False,294.4415,290.6145,413.8797,1.0,115.2298,112.9215,4,2.522
morphology,8,,ok,False,298.7322,296.1448,433.8442,1.0,117.4226,111.0832,4,2.522
random_permutation,0,19.0,ok,False,349.8805,432.7906,634.3868,1.0,171.6032,,4,2.522
