measurement,k,datasets,wins,rank_mean,median_xy_error_median,p90_xy_error_median,coverage_mean,median_vs_spatial_best_mean,median_vs_spatial_best_median,median_vs_spatial_same_k_median
learned_mix,1,1,1,1.0,62.108394622802734,543.0925903320312,0.9936708860759493,25.274641907426066,25.274641907426066,9.115987594209082
learned_mix,2,1,0,2.0,75.05528259277344,326.311767578125,0.995253164556962,30.543300987151046,30.543300987151046,30.543300987151046
learned_mix,3,1,0,3.0,105.41841125488281,356.2691955566406,0.995253164556962,42.89939566299324,42.89939566299324,36.35139027624655
learned_mix,5,1,0,4.0,112.72607421875,336.6790771484375,0.995253164556962,45.87320565620939,45.87320565620939,45.531692516827825
learned_mix,4,1,0,5.0,114.622802734375,331.2189636230469,0.995253164556962,46.645068048067536,46.645068048067536,44.108855261139446
expression,1,1,0,6.0,119.1271743774414,538.2098388671875,0.995253164556962,48.47809530610376,48.47809530610376,17.484944673795084
learned_mix,8,1,0,7.0,122.69898223876953,343.7857666015625,0.995253164556962,49.93162127800279,49.93162127800279,48.075198952248655
learned_mix,12,1,0,8.0,138.8027801513672,347.25518798828125,1.0,56.48496608851294,56.48496608851294,44.210214182751926
seq_jaccard,1,1,0,9.0,140.7412109375,569.0748901367188,0.9920886075949367,57.273798971400716,57.273798971400716,20.657354624799293
learned_mix,16,1,0,10.0,144.84756469726562,342.1455383300781,1.0,58.9448552183639,58.9448552183639,37.914694877165594
learned_mix,24,1,0,11.0,158.0467529296875,340.3498840332031,1.0,64.31618638976555,64.31618638976555,28.184920006061343
learned_mix,32,1,0,12.0,166.77149963378906,349.1114807128906,1.0,67.8666701853683,67.8666701853683,25.07010292252253
seq_jaccard_all,1,1,0,13.0,189.22354125976562,552.9251098632812,0.995253164556962,77.00339502962694,77.00339502962694,27.77337049415579
expression,3,1,0,14.0,197.88302612304688,395.6992492675781,0.9984177215189873,80.52732090714198,80.52732090714198,68.23592791824004
seq_jaccard,3,1,0,15.0,198.38189697265625,455.9032897949219,1.0,80.73033343320236,80.73033343320236,68.40795336176286
expression,4,1,0,16.0,200.45570373535156,370.9677429199219,0.9984177215189873,81.57425676483327,81.57425676483327,77.13885380051717
expression,2,1,0,17.0,204.21434020996094,429.85125732421875,0.9984177215189873,83.10381153006084,83.10381153006084,83.10381153006084
seq_jaccard,2,1,0,18.0,206.2689971923828,479.593017578125,0.9984177215189873,83.9399419724703,83.9399419724703,83.9399419724703
expression,5,1,0,19.0,209.72364807128906,367.2066955566406,0.9984177215189873,85.34579160696516,85.34579160696516,84.71041614523843
seq_jaccard,4,1,0,20.0,213.26995849609375,436.87213134765625,1.0,86.78894154867373,86.78894154867373,82.07000270839006
