measurement,k,seed,leaky,status,mean_xy_error,median_xy_error,p90_xy_error,coverage,median_vs_spatial_best,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error
expression,1,,False,ok,218.2722320556641,119.1271743774414,538.2098388671875,0.995253164556962,48.47809530610375,17.484944673795084,2,2.457340240478516
learned_mix,0,,False,ok,209.03048706054688,95.54889678955078,504.2453918457031,1.0,38.883055433522145,,2,2.457340240478516
morphology,8,,False,ok,293.4770202636719,298.0194702148437,436.467529296875,1.0,121.27725143865734,116.76824909877126,2,2.457340240478516
morphology_image,32,,False,ok,255.02999877929688,233.7690887451172,410.59521484375,0.990506329113924,95.130940719709,35.141586708841885,2,2.457340240478516
morphology_image_all,32,,False,ok,255.02999877929688,233.7690887451172,410.59521484375,0.990506329113924,95.130940719709,35.141586708841885,2,2.457340240478516
morphology_image_histogram,32,,False,ok,255.41131591796875,227.98065185546875,419.8327331542969,1.0,92.77537074437615,34.27143378161708,2,2.457340240478516
morphology_image_summary,24,,False,ok,261.2147827148437,244.7514495849609,396.005126953125,0.995253164556962,99.60014716452152,43.64721134757273,2,2.457340240478516
morphology_image_texture,32,,False,ok,247.1782073974609,226.9349365234375,405.8023681640625,0.9889240506329114,92.34982310762413,34.11423551297255,2,2.457340240478516
random_neighbors,8,13.0,False,ok,298.2966613769531,295.67547607421875,392.9392700195313,1.0,120.3233769600591,115.84983899791027,2,2.457340240478516
random_permutation,0,0.0,False,ok,337.96044921875,423.5702209472656,631.0726318359375,1.0,172.36938294909626,,2,2.457340240478516
luna_expression_self,0,1.0,True,ok,78.1126480102539,74.38626098632812,120.47113037109375,1.0,30.271046622279275,,2,2.457340240478516
spagcn_adjacency,5,100.0,True,ok,2.8237414360046387,2.164010763168335,5.802292823791504,1.0,0.8806313132881178,0.8740752603562029,2,2.457340240478516
spagcn_xy_embedding,1,100.0,True,ok,157.28448486328125,51.26982116699219,492.5,0.995253164556962,20.86394888361428,7.525151093569321,2,2.457340240478516
spagcn_xy_probabilities,1,100.0,True,ok,240.88417053222656,131.33984375,552.0779418945312,0.9920886075949368,53.44796849313153,19.277464721504494,2,2.457340240478516
spatial,2,,True,ok,3.328127384185791,2.457340240478516,7.831705093383789,0.9984177215189872,1.0,1.0,2,2.457340240478516
