measurement,k,seed,status,leaky,mean_xy_error,median_xy_error,p90_xy_error,coverage,median_vs_spatial_best,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error
spagcn_adjacency,5,100.0,ok,True,2.8237,2.164,5.8023,1.0,0.8806,0.8741,2,2.4573
spatial,2,,ok,True,3.3281,2.4573,7.8317,0.9984,1.0,1.0,2,2.4573
spagcn_xy_embedding,1,100.0,ok,True,157.2845,51.2698,492.5,0.9953,20.8639,7.5252,2,2.4573
learned_mix,0,,ok,False,209.0305,95.5489,504.2454,1.0,38.8831,,2,2.4573
expression,1,,ok,False,218.2722,119.1272,538.2098,0.9953,48.4781,17.4849,2,2.4573
spagcn_xy_probabilities,1,100.0,ok,True,240.8842,131.3398,552.0779,0.9921,53.448,19.2775,2,2.4573
morphology_image_texture,32,,ok,False,247.1782,226.9349,405.8024,0.9889,92.3498,34.1142,2,2.4573
morphology_image_histogram,32,,ok,False,255.4113,227.9807,419.8327,1.0,92.7754,34.2714,2,2.4573
morphology_image,32,,ok,False,255.03,233.7691,410.5952,0.9905,95.1309,35.1416,2,2.4573
morphology_image_all,32,,ok,False,255.03,233.7691,410.5952,0.9905,95.1309,35.1416,2,2.4573
morphology_image_summary,24,,ok,False,261.2148,244.7514,396.0051,0.9953,99.6001,43.6472,2,2.4573
random_neighbors,8,13.0,ok,False,298.2967,295.6755,392.9393,1.0,120.3234,115.8498,2,2.4573
morphology,8,,ok,False,293.477,298.0195,436.4675,1.0,121.2773,116.7682,2,2.4573
random_permutation,0,0.0,ok,False,337.9604,423.5702,631.0726,1.0,172.3694,,2,2.4573
