measurement,k,datasets,leaky,wins,rank_mean,mean_xy_error_median,median_xy_error_median,p90_xy_error_median,coverage_mean,median_vs_spatial_best_mean,median_vs_spatial_best_median,median_vs_spatial_same_k_median
spagcn_adjacency,2,1,True,1,1.0,4.200708866119385,3.7535269260406494,8.077692985534668,1.0,0.525476691011782,0.525476691011782,0.525476691011782
spatial,2,1,True,0,2.0,7.502827167510986,7.143089294433594,13.947053909301758,1.0,1.0,1.0,1.0
morphology_image,1,1,False,0,3.0,30.744464874267575,7.829024314880371,24.670175552368164,0.9722222222222222,1.0960277818424176,1.0960277818424176,0.8803716051841302
morphology_image_all,1,1,False,0,3.0,30.744464874267575,7.829024314880371,24.670175552368164,0.9722222222222222,1.0960277818424176,1.0960277818424176,0.8803716051841302
morphology_image_histogram,1,1,False,0,3.0,22.06971549987793,7.829024314880371,15.768720626831056,0.9722222222222222,1.0960277818424176,1.0960277818424176,0.8803716051841302
learned_mix,0,1,False,0,6.0,24.455677032470703,7.854323387145996,24.391254425048828,1.0,1.0995695368482439,1.0995695368482439,
morphology_image_summary,1,1,False,0,7.0,8.992791175842285,7.8796067237854,14.465985298156738,0.9722222222222222,1.1031090889379969,1.1031090889379969,0.8860595829870809
morphology_image_texture,1,1,False,0,8.0,31.77837562561035,8.342169761657715,23.371368408203125,0.9722222222222222,1.1678658095676517,1.1678658095676517,0.9380746678523166
spagcn_xy_embedding,1,1,True,0,9.0,30.642202377319336,8.892863273620605,21.07706451416016,0.9722222222222222,1.2449603955743016,1.2449603955743016,1.0
expression,1,1,False,0,10.0,39.86155700683594,15.977477073669434,77.81144714355469,1.0,2.23677409242528,2.23677409242528,1.7966628499804234
morphology,1,1,False,0,11.0,130.03167724609375,21.02842903137207,496.4349670410156,0.9722222222222222,2.943884384555983,2.943884384555983,2.3646409918108007
luna_expression_self,0,1,True,0,12.0,96.49725341796875,88.50733947753906,112.19338989257812,1.0,12.39062481642366,12.39062481642366,
random_neighbors,3,1,False,0,13.0,169.0006561279297,134.20590209960938,295.7841186523437,1.0,18.788215654001725,18.788215654001725,18.579717997751292
random_permutation,0,1,False,0,14.0,189.97579956054688,205.36231994628903,407.3020935058594,1.0,28.749790389197855,28.749790389197855,
spagcn_xy_probabilities,32,1,True,0,15.0,171.9353485107422,245.74029541015625,273.08514404296875,1.0,34.40252323342152,34.40252323342152,1.0664606786215665
