dataset,measurement,label,k,seed,status,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,score
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0,0,,ok,False,36,36,1.0,195.518310546875,193.8881378173828,0.9916623014748209,24.455677032470703,7.854323387145996,24.391254425048828,237.16868591308594,0.033117033541202545,26,36,neighbor_union_v1,1,1,1,4,0.0,0.0,1.0,0.0,20.04995059967041
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0,0,,ok,False,36,69,1.0,195.518310546875,188.7855987548828,0.9655648017151927,24.594816207885742,8.663335800170898,27.06390953063965,237.16868591308594,0.03652815893292427,54,69,neighbor_union_v1,1,1,1,4,0.125,0.0,1.0,0.0,22.195290565490723
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0,0,,ok,False,36,69,1.0,195.518310546875,186.00564575195312,0.951346424954704,25.137481689453125,9.191556930541992,27.12810516357422,237.16868591308594,0.03875535726547241,54,69,neighbor_union_v1,1,1,1,4,0.25,0.0,1.0,0.0,22.7556095123291
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0.125,0,,ok,False,36,174,1.0,195.518310546875,185.4646453857422,0.9485794188124264,25.513404846191406,10.183778762817383,28.89459991455078,237.16868591308594,0.042938970029354095,121,174,neighbor_union_v1,1,1,1,4,0.0,0.0,1.0,0.125,24.631078720092773
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression1_morphology0_morphology_image0_seq_jaccard_all0.25,0,,ok,False,36,144,1.0,195.518310546875,187.50894165039062,0.9590351979102021,35.72447204589844,15.221687316894531,23.278892517089844,237.16868591308594,0.06418085098266602,101,144,neighbor_union_v1,1,1,1,4,1.0,0.0,0.0,0.25,26.861133575439453
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression0.5_morphology0_morphology_image0_seq_jaccard_all1,0,,ok,False,36,144,1.0,195.518310546875,186.50990295410156,0.9539255041250283,35.61141586303711,15.162240982055664,23.50008773803711,237.16868591308594,0.0639301985502243,101,144,neighbor_union_v1,1,1,1,4,0.5,0.0,0.0,1.0,26.91228485107422
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression1_morphology0_morphology_image0_seq_jaccard_all1,0,,ok,False,36,144,1.0,195.518310546875,186.781494140625,0.9553145872536815,35.53911590576172,15.579705238342285,22.750539779663086,237.16868591308594,0.06569039821624756,101,144,neighbor_union_v1,1,1,1,4,1.0,0.0,0.0,1.0,26.954975128173828
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression1_morphology0_morphology_image0_seq_jaccard_all0.125,0,,ok,False,36,144,1.0,195.518310546875,187.82217407226562,0.9606372597375515,35.9593620300293,15.413986206054688,23.560813903808594,237.16868591308594,0.06499166041612625,101,144,neighbor_union_v1,1,1,1,4,1.0,0.0,0.0,0.125,27.194393157958984
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0.125,0,,ok,False,36,174,1.0,195.518310546875,183.99415588378906,0.9410584377961723,25.98822784423828,10.3417329788208,33.78961181640625,237.16868591308594,0.04360496625304222,121,174,neighbor_union_v1,1,1,1,4,0.125,0.0,1.0,0.125,27.236538887023926
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression0.25_morphology0_morphology_image0_seq_jaccard_all1,0,,ok,False,36,144,1.0,195.518310546875,186.3342742919922,0.9530272319293545,35.69367599487305,15.004504203796387,24.587844848632812,237.16868591308594,0.0632651150226593,101,144,neighbor_union_v1,1,1,1,4,0.25,0.0,0.0,1.0,27.298426628112793
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression1_morphology0_morphology_image0_seq_jaccard_all0.5,0,,ok,False,36,144,1.0,195.518310546875,187.135986328125,0.9571276767106661,35.562782287597656,15.864166259765625,22.988197326660156,237.16868591308594,0.06688980013132095,101,144,neighbor_union_v1,1,1,1,4,1.0,0.0,0.0,0.5,27.358264923095703
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression0.125_morphology0_morphology_image0_seq_jaccard_all1,0,,ok,False,36,144,1.0,195.518310546875,186.23294067382812,0.9525089499439965,35.75210952758789,15.004135131835938,25.70831298828125,237.16868591308594,0.06326355785131454,101,144,neighbor_union_v1,1,1,1,4,0.125,0.0,0.0,1.0,27.858291625976562
tiny_mouse_ileum_multimodal_v3,learned_mix,learned_expression1_morphology0_morphology_image0_seq_jaccard_all0,0,,ok,False,36,36,1.0,195.518310546875,188.3203887939453,0.96318543397395,36.50701904296875,15.977477073669434,24.21820831298828,237.16868591308594,0.0673675686120987,31,36,neighbor_union_v1,1,1,1,4,1.0,0.0,0.0,0.0,28.086581230163574
