measurement,k,datasets,leaky,wins,rank_mean,mean_xy_error_median,median_xy_error_median,p90_xy_error_median,coverage_mean,median_vs_spatial_best_mean,median_vs_spatial_best_median,median_vs_spatial_same_k_median
spagcn_adjacency,2,1,True,1,1.0,5.473184108734131,5.065574169158936,8.940007209777832,1.0,0.5480368538527326,0.5480368538527326,0.49530223552940006
spatial,3,1,True,0,2.0,8.853904724121094,9.24312686920166,12.448918342590332,1.0,1.0,1.0,1.0
learned_mix,0,1,False,0,3.0,33.30567932128906,9.56922721862793,29.03416633605957,1.0,1.0352803065500318,1.0352803065500318,
morphology_image,1,1,False,0,4.0,32.93706512451172,10.137407302856444,29.829343795776367,0.9565217391304348,1.0967508556692593,1.0967508556692593,0.9004186543089779
morphology_image_all,1,1,False,0,4.0,32.93706512451172,10.137407302856444,29.829343795776367,0.9565217391304348,1.0967508556692593,1.0967508556692593,0.9004186543089779
morphology_image_summary,1,1,False,0,6.0,35.14791488647461,10.166009902954102,142.8339385986328,0.9565217391304348,1.099845327973103,1.099845327973103,0.9029591771389539
spagcn_xy_embedding,2,1,True,0,7.0,53.58675003051758,10.672130584716797,150.7810821533203,1.0,1.154601763638733,1.154601763638733,1.0435006891527883
morphology_image_histogram,1,1,False,0,8.0,131.08502197265625,11.35949993133545,469.6315612792969,0.9565217391304348,1.2289672198685921,1.2289672198685921,1.008966625905811
morphology_image_texture,1,1,False,0,9.0,33.6862907409668,12.079222679138184,29.829343795776367,0.9565217391304348,1.306832941932937,1.306832941932937,1.0728934040939078
expression,2,1,False,0,10.0,63.1607666015625,13.368494033813477,148.02523803710938,1.0,1.4463172715239523,1.4463172715239523,1.3071459936216183
spagcn_xy_probabilities,4,1,True,0,11.0,51.51467514038086,14.072364807128906,92.66021728515624,0.9565217391304348,1.5224679923001374,1.5224679923001374,1.5224679923001374
random_permutation,0,1,False,0,12.0,167.78598022460938,21.74917221069336,508.3076171875,1.0,2.353010244094146,2.353010244094146,
luna_expression_self,0,1,True,0,13.0,108.83898162841797,75.45799255371094,161.02801513671875,1.0,8.163686771966631,8.163686771966631,
random_neighbors,1,1,False,0,14.0,197.00526428222656,132.46267700195312,499.4061279296875,1.0,14.330937882430481,14.330937882430481,11.765519704299136
morphology,1,1,False,0,15.0,228.29248046875,180.3179931640625,495.5391540527344,0.9565217391304348,19.508332593041295,19.508332593041295,16.016095625035366
