measurement,k,seed,leaky,status,mean_xy_error,median_xy_error,p90_xy_error,coverage,median_vs_spatial_best,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error
expression,2,,False,ok,63.1607666015625,13.368494033813477,148.02523803710938,1.0,1.4463172715239523,1.3071459936216183,3,9.24312686920166
learned_mix,0,,False,ok,33.30567932128906,9.56922721862793,29.03416633605957,1.0,1.0352803065500318,,3,9.24312686920166
morphology,1,,False,ok,228.29248046875,180.3179931640625,495.5391540527344,0.9565217391304348,19.508332593041295,16.016095625035366,3,9.24312686920166
morphology_image,1,,False,ok,32.93706512451172,10.137407302856444,29.829343795776367,0.9565217391304348,1.0967508556692593,0.9004186543089779,3,9.24312686920166
morphology_image_all,1,,False,ok,32.93706512451172,10.137407302856444,29.829343795776367,0.9565217391304348,1.0967508556692593,0.9004186543089779,3,9.24312686920166
morphology_image_histogram,1,,False,ok,131.08502197265625,11.35949993133545,469.6315612792969,0.9565217391304348,1.2289672198685921,1.008966625905811,3,9.24312686920166
morphology_image_summary,1,,False,ok,35.14791488647461,10.166009902954102,142.8339385986328,0.9565217391304348,1.099845327973103,0.9029591771389539,3,9.24312686920166
morphology_image_texture,1,,False,ok,33.6862907409668,12.079222679138184,29.829343795776367,0.9565217391304348,1.306832941932937,1.0728934040939078,3,9.24312686920166
random_neighbors,1,8.0,False,ok,197.00526428222656,132.46267700195312,499.4061279296875,1.0,14.330937882430481,11.765519704299136,3,9.24312686920166
random_permutation,0,2.0,False,ok,167.78598022460938,21.74917221069336,508.3076171875,1.0,2.353010244094146,,3,9.24312686920166
luna_expression_self,0,1.0,True,ok,108.83898162841797,75.45799255371094,161.02801513671875,1.0,8.163686771966631,,3,9.24312686920166
spagcn_adjacency,2,100.0,True,ok,5.473184108734131,5.065574169158936,8.940007209777832,1.0,0.5480368538527326,0.49530223552940006,3,9.24312686920166
spagcn_xy_embedding,2,100.0,True,ok,53.58675003051758,10.672130584716797,150.7810821533203,1.0,1.154601763638733,1.0435006891527883,3,9.24312686920166
spagcn_xy_probabilities,4,100.0,True,ok,51.51467514038086,14.072364807128906,92.66021728515624,0.9565217391304348,1.5224679923001374,1.5224679923001374,3,9.24312686920166
spatial,3,,True,ok,8.853904724121094,9.24312686920166,12.448918342590332,1.0,1.0,1.0,3,9.24312686920166
