dataset,measurement,label,k,seed,status,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,score
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0,0,,ok,False,23,23,1.0,241.06468200683594,241.00900268554688,0.999769027462565,33.30567932128906,9.56922721862793,29.03416633605957,251.21176147460938,0.038092274218797684,16,23,neighbor_union_v1,2,1,1,3,0.0,0.0,1.0,0.0,24.086310386657715
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0,0,,ok,False,23,63,1.0,241.06468200683594,231.3208465576172,0.959579995841355,36.55022048950195,10.278787612915039,56.599483489990234,251.21176147460938,0.04091682657599449,41,63,neighbor_union_v1,2,1,1,3,0.125,0.0,1.0,0.0,38.578529357910156
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0.125,0,,ok,False,23,85,1.0,241.06468200683594,230.4495849609375,0.9559657725157872,36.55061340332031,10.25817584991455,62.581539154052734,251.21176147460938,0.04083477705717087,59,85,neighbor_union_v1,2,1,1,3,0.0,0.0,1.0,0.125,41.54894542694092
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0,0,,ok,False,23,63,1.0,241.06468200683594,227.5635528564453,0.9439937487399843,39.99992370605469,9.969304084777832,95.99010467529297,251.21176147460938,0.03968486189842224,41,63,neighbor_union_v1,2,1,1,3,0.25,0.0,1.0,0.0,57.964356422424316
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0.125,0,,ok,False,23,90,1.0,241.06468200683594,227.2295684814453,0.9426082933003089,39.99052810668945,10.240062713623047,100.20646667480469,251.21176147460938,0.04076267406344414,60,90,neighbor_union_v1,2,1,1,3,0.125,0.0,1.0,0.125,60.34329605102539
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0.25,0,,ok,False,23,85,1.0,241.06468200683594,226.96774291992188,0.9415221716862103,40.01239013671875,11.290223121643066,104.30726623535156,251.21176147460938,0.044943053275346756,59,85,neighbor_union_v1,2,1,1,3,0.0,0.0,1.0,0.25,63.44385623931885
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0_morphology0.125_morphology_image1_seq_jaccard_all0,0,,ok,False,23,44,1.0,241.06468200683594,210.8383026123047,0.874612991239944,53.268287658691406,38.05428695678711,70.0026626586914,251.21176147460938,0.15148290991783142,30,44,neighbor_union_v1,2,1,1,3,0.0,0.125,1.0,0.0,73.05561828613281
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.125_morphology0.125_morphology_image1_seq_jaccard_all1,0,,ok,False,23,107,1.0,241.06468200683594,220.96324157714844,0.916613913484359,52.244911193847656,16.78450584411621,114.64457702636719,251.21176147460938,0.06681416928768158,72,107,neighbor_union_v1,2,1,1,3,0.125,0.125,1.0,1.0,74.1067943572998
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0.125,0,,ok,False,23,90,1.0,241.06468200683594,226.10812377929688,0.937956244344765,42.60573959350586,11.49300765991211,126.45512390136719,251.21176147460938,0.04575027525424957,60,90,neighbor_union_v1,2,1,1,3,0.25,0.0,1.0,0.125,74.7205696105957
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0_morphology0.125_morphology_image1_seq_jaccard_all1,0,,ok,False,23,102,1.0,241.06468200683594,219.91961669921875,0.9122846817228184,51.83451461791992,17.142152786254883,116.77890014648438,251.21176147460938,0.06823785603046417,71,102,neighbor_union_v1,2,1,1,3,0.0,0.125,1.0,1.0,75.53160285949707
