measurement,k,seed,status,leaky,mean_xy_error,median_xy_error,p90_xy_error,coverage,median_vs_spatial_best,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error
spatial,3,,ok,True,8.8539,9.2431,12.4489,1.0,1.0,1.0,3,9.2431
learned_mix,0,,ok,False,33.3057,9.5692,29.0342,1.0,1.0353,,3,9.2431
morphology_image,1,,ok,False,32.9371,10.1374,29.8293,0.9565,1.0968,0.9004,3,9.2431
morphology_image_all,1,,ok,False,32.9371,10.1374,29.8293,0.9565,1.0968,0.9004,3,9.2431
morphology_image_summary,1,,ok,False,35.1479,10.166,142.8339,0.9565,1.0998,0.903,3,9.2431
spagcn_xy_embedding,2,100.0,ok,True,53.5868,10.6721,150.7811,1.0,1.1546,1.0435,3,9.2431
morphology_image_histogram,1,,ok,False,131.085,11.3595,469.6316,0.9565,1.229,1.009,3,9.2431
morphology_image_texture,1,,ok,False,33.6863,12.0792,29.8293,0.9565,1.3068,1.0729,3,9.2431
expression,2,,ok,False,63.1608,13.3685,148.0252,1.0,1.4463,1.3071,3,9.2431
spagcn_xy_probabilities,4,100.0,ok,True,51.5147,14.0724,92.6602,0.9565,1.5225,1.5225,3,9.2431
random_permutation,0,2.0,ok,False,167.786,21.7492,508.3076,1.0,2.353,,3,9.2431
random_neighbors,1,8.0,ok,False,197.0053,132.4627,499.4061,1.0,14.3309,11.7655,3,9.2431
morphology,1,,ok,False,228.2925,180.318,495.5392,0.9565,19.5083,16.0161,3,9.2431
